95952 191882
-1683.748017 -4812.646089 23.722875
-1682.451211 -4811.899769 23.661055
-1682.386903 -4812.205077 23.884935
-1587.785105 -4769.653917 40.815991
-1587.785105 -4769.653917 37.711585
-1587.784850 -4769.767132 41.172357
-1587.784686 -4769.839904 41.334070
-1587.784537 -4769.906160 41.445132
-1587.784347 -4769.990239 41.553992
-1587.784083 -4770.107575 41.673004
-1587.783697 -4770.278890 41.809431
-1587.783056 -4770.563541 41.984401
-1587.782772 -4770.689628 42.049713
-1587.781796 -4771.123262 42.237373
-1587.780822 -4771.555538 42.371540
-1587.780541 -4771.680220 42.401024
-1587.779544 -4772.122809 42.474496
-1587.778567 -4772.556945 42.500532
-1587.778249 -4772.697828 42.499064
-1587.777126 -4773.196487 42.455999
-1587.775957 -4773.715436 42.360173
-1587.774821 -4774.219940 42.224297
